name,province,type,status,effective_date,notes
Gander,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Garnish,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Gaskiers Point La Haye,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Gaultois,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Gillams,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Glenburnie-Birchy Head-Shoal Brook,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Glenwood,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Glovertown,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Goose Cove East,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Grand Bank,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Grand Falls-Windsor,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Grand Le Pierre,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Greenspond,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hampden,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hant's Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Happy Adventure,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Happy Valley-Goose Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Harbour Breton,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Harbour Grace,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Harbour Main-Chapel's Cove-Lakeview,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hare Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hawke's Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Heart's Content,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Heart's Delight-Islington,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Heart's Desire,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hermitage-Sandyville,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Holyrood,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Howley,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Hughes Brook,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Humber Arm South,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Indian Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Irishtown-Summerside,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Isle aux Morts,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Jackson's Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Keels,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
King's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
King's Point,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Kippens,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
La Scie,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Labrador City,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lamaline,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
L'Anse au Clair,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
L'Anse au Loup,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lark Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lawn,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Leading Tickles,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lewin's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lewisporte,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Little Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Little Bay East,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Little Bay Islands,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Little Burnt Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Logy Bay-Middle Cove-Outer Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Long Harbour-Mount Arlington Heights,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lord's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lourdes,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lumsden,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Lushes Bight-Beaumont-Beaumont North,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Main Brook,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Mary's Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Marystown,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Massey Drive,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
McIvers,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Meadows,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Middle Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Miles Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Millertown,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Ming's Bight,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Morrisville,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Mount Carmel-Mitchells Brook-St.Catherine's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Mount Moriah,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Mount Pearl,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Musgrave Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Musgravetown,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
New Perlican,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
New-Wes-Valley,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Nippers Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Norman's Cove-Long Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Norris Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Norris Point,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
North River,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
North West River,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Northern Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Old Perlican,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pacquet,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Paradise,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Parker's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Parson's Pond,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pasadena,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Peterview,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Petty Harbour-Maddox Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pilley's Island,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pinware,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Placentia,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Point au Gaul,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Point Lance,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Point Leamington,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Point May,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Point of Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pool's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Anson,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port au Choix,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port au Port East,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port au Port West-Aguathuna-Felix Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Blandford,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Hope Simpson,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Kirwan,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Rexton,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Port Saunders,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Portugal Cove South,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Portugal Cove-St. Philip's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Pouch Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Raleigh,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Ramea,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Red Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Red Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Reidville,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Rencontre East,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Renews-Cappahayden,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
River of Ponds,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Riverhead,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Robert's Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Rocky Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Roddickton-Bide Arm,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Rose Blanche-Harbour Le Cou,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Rushoon,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Salmon Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Salvage,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Sandringham,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Sandy Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
"Seal Cove, F.B",Newfoundland and Labrador,Municipality,Registered,2012-01-01,
"Seal Cove, W.B",Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Small Point-Adam's Cove-Blackhead-,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
South Brook,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
South River,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Southern Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Spaniard's Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Springdale,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Alban's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Anthony,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Bernard's-Jacques Fontaine,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Brendan's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Bride's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. George's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Jacques-Coomb's Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. John's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Joseph's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Lawrence,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Lewis,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Lunaire-Griquet,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Mary's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Pauls,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Shott's,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
St. Vincent's-St. Stephen's-Peter's River,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Steady Brook,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Stephenville,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Stephenville Crossing,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Summerford,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Sunnyside (Trinity Bay),Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Terra Nova,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Terrenceville,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Tilt Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Torbay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Traytown,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Trepassey,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Trinity,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Trinity Bay North,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Triton,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Trout River,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Twillingate,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Upper Island Cove,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Victoria,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Wabana,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Wabush,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
West St. Modeste,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Westport,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Whitbourne,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Whiteway,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Winterland,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Winterton,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Witless Bay,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Woodstock,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Woody Point,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
York Harbour,Newfoundland and Labrador,Municipality,Registered,2012-01-01,
Aklavik,Northwest Territories,Hamlet,Registered,2012-01-01,
Behchokö (Rae-Edzo),Northwest Territories,Community Government,Registered,2012-01-01,
Deline,Northwest Territories,Charter Community,Registered,2012-01-01,
Enterprise,Northwest Territories,Hamlet,Registered,2012-01-01,
Fort Good Hope,Northwest Territories,Charter Community of K'asho Got'ine,Registered,2012-01-01,
Fort Liard,Northwest Territories,Hamlet,Registered,2012-01-01,
Fort McPherson,Northwest Territories,Hamlet,Registered,2012-01-01,
Fort Providence,Northwest Territories,Hamlet,Registered,2012-01-01,
Fort Resolution,Northwest Territories,Hamlet,Registered,2012-01-01,
Fort Simpson,Northwest Territories,Village,Registered,2012-01-01,
Fort Smith,Northwest Territories,Town,Registered,2012-01-01,
Gamètì,Northwest Territories,Community Government,Registered,2012-01-01,
Hay River,Northwest Territories,Town,Registered,2012-01-01,
Inuvik,Northwest Territories,Town,Registered,2012-01-01,
Norman Wells,Northwest Territories,Town,Registered,2012-01-01,
Paulatuk,Northwest Territories,Hamlet,Registered,2012-01-01,
Sachs Harbour,Northwest Territories,Hamlet,Registered,2012-01-01,
Tsiigehtchic,Northwest Territories,Charter Community,Registered,2012-01-01,
Tuktoyaktuk,Northwest Territories,Hamlet,Registered,2012-01-01,
Tulita,Northwest Territories,Hamlet,Registered,2012-01-01,
Ulukhaktok,Northwest Territories,Hamlet,Registered,2012-01-01,
Wekweètì,Northwest Territories,Community Government,Registered,2012-01-01,
Whatì,Northwest Territories,Community Government,Registered,2012-01-01,
Yellowknife,Northwest Territories,City,Registered,2012-01-01,
Amherst,Nova Scotia,Town Municipality,Registered,2012-01-01,
Annapolis,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Annapolis Royal,Nova Scotia,Town Municipality,Registered,2012-01-01,
Antigonish,Nova Scotia,Town Municipality,Registered,2012-01-01,
Antigonish,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Argyle,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Barrington,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Berwick,Nova Scotia,Town Municipality,Registered,2012-01-01,
Bridgetown,Nova Scotia,Town Municipality,Terminated,2015-03-31,
Bridgewater,Nova Scotia,Town Municipality,Registered,2012-01-01,
Canso,Nova Scotia,Town Municipality,Terminated,2012-01-19,
Cape Breton,Nova Scotia,Regional Municipality,Registered,2012-01-01,
Chester,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Clare,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Clark's Harbour,Nova Scotia,Town Municipality,Registered,2012-01-01,
Colchester,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Cumberland,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Digby,Nova Scotia,Town Municipality,Registered,2012-01-01,
Digby,Nova Scotia,Rural Municipality,Registered,2012-01-01,
East Hants,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Guysborough,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Halifax,Nova Scotia,Regional Municipality,Registered,2012-01-01,
Hantsport,Nova Scotia,Town Municipality,Registered,2012-01-01,
Inverness,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Kentville,Nova Scotia,Town Municipality,Registered,2012-01-01,
Kings,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Lockeport,Nova Scotia,Town Municipality,Registered,2012-01-01,
Lunenburg,Nova Scotia,Town Municipality,Registered,2012-01-01,
Lunenburg,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Mahone Bay,Nova Scotia,Town Municipality,Registered,2012-01-01,
Middleton,Nova Scotia,Town Municipality,Registered,2012-01-01,
Mulgrave,Nova Scotia,Town Municipality,Registered,2012-01-01,
New Glasgow,Nova Scotia,Town Municipality,Registered,2012-01-01,
Oxford,Nova Scotia,Town Municipality,Registered,2012-01-01,
Parrsboro,Nova Scotia,Town Municipality,Registered,2012-01-01,
Pictou,Nova Scotia,Town Municipality,Registered,2012-01-01,
Pictou,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Port Hawkesbury,Nova Scotia,Town Municipality,Registered,2012-01-01,
Queens,Nova Scotia,Regional Municipality,Registered,2012-01-01,
Richmond,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Shelburne,Nova Scotia,Town Municipality,Registered,2012-01-01,
Shelburne,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Springhill,Nova Scotia,Town Municipality,Terminated,2015-03-13,
St. Mary's,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Stellarton,Nova Scotia,Town Municipality,Registered,2012-01-01,
Stewiacke,Nova Scotia,Town Municipality,Registered,2012-01-01,
Trenton,Nova Scotia,Town Municipality,Registered,2012-01-01,
Truro,Nova Scotia,Town Municipality,Registered,2012-01-01,
Victoria,Nova Scotia,Rural Municipality,Registered,2012-01-01,
West Hants,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Westville,Nova Scotia,Town Municipality,Registered,2012-01-01,
Windsor,Nova Scotia,Town Municipality,Registered,2012-01-01,
Wolfville,Nova Scotia,Town Municipality,Registered,2012-01-01,
Yarmouth,Nova Scotia,Town Municipality,Registered,2012-01-01,
Yarmouth,Nova Scotia,Rural Municipality,Registered,2012-01-01,
Iqaluit,Nunavut,City,Registered,2012-01-01,
Arctic Bay,Nunavut,Hamlet,Registered,2012-01-01,
Arviat,Nunavut,Hamlet,Registered,2012-01-01,
Baker Lake,Nunavut,Hamlet,Registered,2012-01-01,
Cambridge Bay,Nunavut,Hamlet,Registered,2012-01-01,
Cape Dorset,Nunavut,Hamlet,Registered,2012-01-01,
Chesterfield Inlet,Nunavut,Hamlet,Registered,2012-01-01,
Clyde River,Nunavut,Hamlet,Registered,2012-01-01,
Coral Harbour,Nunavut,Hamlet,Registered,2012-01-01,
Gjoa Haven,Nunavut,Hamlet,Registered,2012-01-01,
Grise Fiord,Nunavut,Hamlet,Registered,2012-01-01,
Hall Beach,Nunavut,Hamlet,Registered,2012-01-01,
Igloolik,Nunavut,Hamlet,Registered,2012-01-01,
Kimmirut,Nunavut,Hamlet,Registered,2012-01-01,
Kugaaruk,Nunavut,Hamlet,Registered,2012-01-01,
Kugluktuk,Nunavut,Hamlet,Registered,2012-01-01,
Naujaat (formerly Repulse Bay),Nunavut,Hamlet,Registered,2012-01-01,Effective date of name change 2015-07-01
Pangnirtung,Nunavut,Hamlet,Registered,2012-01-01,
Pond Inlet,Nunavut,Hamlet,Registered,2012-01-01,
Qikiqtarjuaq,Nunavut,Hamlet,Registered,2012-01-01,
Rankin Inlet,Nunavut,Hamlet,Registered,2012-01-01,
Resolute Bay,Nunavut,Hamlet,Registered,2012-01-01,
Sanikiluaq,Nunavut,Hamlet,Registered,2012-01-01,
Taloyoak,Nunavut,Hamlet,Registered,2012-01-01,
Whale Cove,Nunavut,Hamlet,Registered,2012-01-01,
"Addington Highlands, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Adelaide-Metcalfe, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Adjala-Tosorontio, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Admaston/Bromley, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Ajax, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Alberton, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Alfred and Plantagenet, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Algonquin Highlands, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Alnwick/Haldimand, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Amaranth, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Amherstburg, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Armour, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Armstrong, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Arnprior, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Arran-Elderslie, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Ashfield-Colborne-Wawanosh, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Asphodel-Norwood, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Assiginack, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Athens, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Atikokan, Town of",Ontario,Single Tier,Registered,2012-01-01,
"Augusta, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Aurora, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Aylmer, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Baldwin, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Bancroft, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Barrie, City of",Ontario,Single Tier,Registered,2012-01-01,
"Bayham, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Beckwith, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Belleville, City of",Ontario,Single Tier,Registered,2012-01-01,
"Billings, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Black River-Matheson, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Blandford-Blenheim, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Blind River, Town of",Ontario,Single Tier,Registered,2012-01-01,
"Bluewater, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Bonfield, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Bonnechere Valley, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Bracebridge, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Bradford West Gwillimbury, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Brampton, City of",Ontario,Lower Tier,Registered,2012-01-01,
"Brant, County of",Ontario,Single Tier,Registered,2012-01-01,
"Brantford, City of",Ontario,Single Tier,Registered,2012-01-01,
"Brethour, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Brighton, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Brock, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Brockton, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Brockville, City of",Ontario,Single Tier,Registered,2012-01-01,
"Brooke-Alvinston, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Bruce, County of",Ontario,Upper Tier,Registered,2012-01-01,
"Bruce Mines, Town of",Ontario,Single Tier,Registered,2012-01-01,
"Brudenell, Lyndoch and Raglan, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Burk's Falls, Village of",Ontario,Single Tier,Registered,2012-01-01,
"Burlington, City of",Ontario,Lower Tier,Registered,2012-01-01,
"Burpee and Mills, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Caledon, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Callander, Municipality of",Ontario,Single Tier,Registered,2012-01-01,
"Calvin, Municipality of",Ontario,Single Tier,Registered,2012-01-01,
"Cambridge, City of",Ontario,Lower Tier,Registered,2012-01-01,
"Carleton Place, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Carling, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Carlow/Mayo, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Casey, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Casselman, Village of",Ontario,Lower Tier,Registered,2012-01-01,
"Cavan-Monaghan, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Central Elgin, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Central Frontenac, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Central Huron, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Central Manitoulin, Municipality of",Ontario,Single Tier,Registered,2012-01-01,
"Centre Hastings, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Centre Wellington, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Chamberlain, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Champlain, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Chapleau, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Chapple, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Charlton and Dack, Municipality of",Ontario,Single Tier,Registered,2012-01-01,
"Chatham-Kent, Municipality of",Ontario,Single Tier,Registered,2012-01-01,
"Chatsworth, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Chisholm, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Clarence-Rockland, City of",Ontario,Lower Tier,Registered,2012-01-01,
"Clarington, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
"Clearview, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Cobalt, Town of",Ontario,Single Tier,Registered,2012-01-01,
"Cobourg, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Cochrane, Town of",Ontario,Single Tier,Registered,2012-01-01,
"Cockburn Island, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Coleman, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Collingwood, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Conmee, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Cornwall, City of",Ontario,Single Tier,Registered,2012-01-01,
"Cramahe, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Dawn-Euphemia, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Dawson, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Deep River, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Deseronto, Town of",Ontario,Lower Tier,Registered,2012-01-01,
"Dorion, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Douro-Dummer, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Drummond/North Elmsley, Township of",Ontario,Lower Tier,Registered,2012-01-01,
"Dryden, City of",Ontario,Single Tier,Registered,2012-01-01,
"Dubreuilville, Township of",Ontario,Single Tier,Registered,2012-01-01,
"Dufferin, County of",Ontario,Upper Tier,Registered,2012-01-01,
"Durham, Regional Municipality of",Ontario,Upper Tier,Registered,2012-01-01,
"Dutton/Dunwich, Municipality of",Ontario,Lower Tier,Registered,2012-01-01,
